launch_id	mission_id	mission_name	mission_type	mission_description	orbit_name	orbit_abbrev	program_name	lsp_name	lsp_type
3827a2c8-f89b-4e28-9671-ef5b39d9222a	5820.0	LJ-1A	Test Flight	Little Joe 1A (LJ-1A) was an unmanned rocket launched as part of NASA's Mercury program on November 4, 1959. This flight, a repeat of the Little Joe 1 (LJ-1) launch, was to test a launch abort under high aerodynamic load conditions. Due to a delayed in the escape motor startup, the abort maneuver was not accomplished at the desired dynamic pressure, requiring a repeat of the test.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
4ffd5945-132b-4ec4-8a9f-f37bdc428f9b	1476.0	Discoverer 7	Government/Top Secret	The KH-1 (Keyhole-1) was the first attempt in the Corona-program to build an optical reconnaissance satellite. These satellites were all launched under the name Discoverer.	Low Earth Orbit	LEO		United States Air Force	Government
ba311200-30df-44dd-879e-c4fecbc2dcb1	1477.0	Discoverer 8	Government/Top Secret	The KH-1 (Keyhole-1) was the first attempt in the Corona-program to build an optical reconnaissance satellite. These satellites were all launched under the name Discoverer.	Low Earth Orbit	LEO		United States Air Force	Government
f889bd5e-6cf9-4189-9912-d978a6f7b0fe	1478.0	P-3	Lunar Exploration	The Pioneer P-1, -3, -30 and -31 series was intended to be a lunar orbiter probe, but the mission failed shortly after launch. The objectives were to place a highly instrumented probe in lunar orbit, to investigate the environment between the Earth and Moon, and to develop technology for controlling and maneuvering spacecraft from Earth.	Lunar Orbit	LO		United States Air Force	Government
89a42fc2-2d31-4c82-857a-c110a438d429	5821.0	LJ-2	Test Flight	The Little Joe 2 was a suborbital test flight of the Mercury space capsule, carrying the rhesus monkey Sam close to the edge of space. He was sent to test the space equipment and the adverse effects of space on humans.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
215ecfa3-d465-4e3e-a0d2-3312ffd4e35b	5822.0	LJ-1B	Test Flight	The Little Joe 1B was a suborbital launch escape system test of the Mercury spacecraft, conducted as part of the U.S. Mercury program. The mission also carried a female rhesus monkey (Macaca mulatta) named Miss Sam in the Mercury spacecraft.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
05c21203-d2e5-4932-8376-f996301d1510	1479.0	Discoverer 9	Government/Top Secret	Discoverer 9 was an American optical reconnaissance satellite, the sixth of ten operational flights of the Corona KH-1 spy satellite series, and the first of them to be equipped with a new, vacuum-proof, polyester-based film. The satellite was not successfully orbited.	Low Earth Orbit	LEO		United States Air Force	Government
7484048e-747d-4f6a-86be-45585a63804d	1480.0	Discoverer 10	Government/Top Secret	Discoverer 10 was an American optical reconnaissance satellite, the seventh of ten operational flights of the Corona KH-1 spy satellite series.	Low Earth Orbit	LEO		United States Air Force	Government
258a4774-b0f5-4775-9918-5a90ad60f008	1481.0	Midas 1	Government/Top Secret	The MIDAS Series 1 (Military Defense Alarm System) satellites, MIDAS 1 and 2, were the first development models for the MIDAS early warning system.	Low Earth Orbit	LEO		United States Air Force	Government
a80dd1f3-c3a2-40f6-a60a-97251eff576f	1482.0	Pioneer V	Astrophysics	Pioneer 5 was a spin-stabilized space probe in the NASA Pioneer program used to investigate interplanetary space between the orbits of Earth and Venus.	Heliocentric N/A	Helio-N/A		United States Air Force	Government
1bbd65cc-7c3d-495b-b5ae-b8a5827460ea	1483.0	NASA S-46	Earth Science	Explorer 5 was a United States satellite with a mass of 15.7 kg. It was the last of the original series of Explorers built, designed, and operated by the Jet Propulsion Laboratory.	Medium Earth Orbit	MEO		National Aeronautics and Space Administration	Government
b5b8946b-8471-4fa2-b63f-d3aaf84607bb	1484.0	Tiros 1	Earth Science	TIROS-1 was the first successful low-Earth orbital weather satellite, and the first of a series of Television Infrared Observation Satellites.	Low Earth Orbit	LEO		United States Air Force	Government
aef4789b-12ab-4483-b90c-24b997196861	1485.0	Transit 1B	Navigation	The Transit system was the first satellite navigation system to be used operationally. The system was primarily used by the U.S. Navy to provide accurate location information to its Polaris ballistic missile submarines, and it was also used as a navigation system by the Navy's surface ships, as well as for hydrographic survey and geodetic surveying.	Polar Orbit	PO		United States Air Force	Government
ab42847c-d783-4304-a773-b7e310b22d2b	1486.0	Luna-4a	Lunar Exploration	Luna 1960A was the second Soviet attempt to photograph the far side of the Moon. The first being the highly successful Luna 3 mission. Luna 1960A was designed to replicate the Luna 3 mission, but with higher resolution cameras and a closer approach to the Moon.	Lunar flyby	Lunar flyby	Luna	Soviet Space Program	Government
b2b23558-cba6-4c9f-89ef-76e47a53b187	1487.0	Discoverer 11	Government/Top Secret	Discoverer 11 was an American optical reconnaissance satellite. The eighth of ten operational flights of the Corona KH-1 spy satellite series, it successfully employed the first space-worthy camera film; however, Discoverer's film return capsule was lost during reentry on 16 Apr when the satellite's spin motors exploded.	Low Earth Orbit	LEO		United States Air Force	Government
620237e7-82b2-44c9-affb-93744951d457	1488.0	Luna-4b	Lunar Exploration	Luna 1960B was the third Soviet attempt to photograph the far side of the Moon, the first being the highly successful Luna 3 mission and the second being the unsuccessful Luna 1960A. Luna 1960B was launched on April 16, 1960. It was designed to replicate the Luna 3 mission, but with higher resolution cameras and a closer approach to the Moon.	Lunar flyby	Lunar flyby	Luna	Soviet Space Program	Government
b4158c69-88e9-4bfa-927f-c3489cf48eda	1489.0	Echo	Communications	The Echo 1 spacecraft was a 30.48 m diameter balloon of mylar polyester film 0.0127 mm thick. The spacecraft was designed as a passive communications reflector for transcontinental and intercontinental telephone (voice), radio, and television signals. It had 107.9 MHz beacon transmitters for telemetry purposes. These transmitters were powered by five nickel-cadmium batteries that were charged by 70 solar cells mounted on the balloon. Because of the large area-to-mass ratio of the spacecraft, data for the calculation of atmospheric density and solar pressure could be acquired. The spacecraft was also used to evaluate the technical feasibility of satellite triangulation during the latter portion of its life. Echo 1 failed during the coast period after launch, as the attitude control jets on the second stage failed and the spacecraft did not achieve orbit. Echo 1A was a successful relaunch.	Elliptical Orbit	Elliptical		United States Air Force	Government
02b8bb48-37a1-4f43-9112-33d8e8589a75	1490.0	Korabl'-Sputnik-1	Test Flight	Korabl-Sputnik was the first test flight of the Vostok programme and the first Vostok spacecraft.	Low Earth Orbit	LEO	Vostok	Soviet Space Program	Government
eee9e288-e5c8-429d-9760-5c7bc14a5225	1491.0	Midas 2	Government/Top Secret	The MIDAS Series 1 (Military Defense Alarm System) satellites, MIDAS 1 and 2, were the first development models for the MIDAS early warning system.	Low Earth Orbit	LEO		United States Air Force	Government
bc9375ae-6a9e-4eba-8358-cbf5b008def9	1492.0	Transit 2A	Navigation	The Transit system was the first satellite navigation system to be used operationally. The system was primarily used by the U.S. Navy to provide accurate location information to its Polaris ballistic missile submarines, and it was also used as a navigation system by the Navy's surface ships, as well as for hydrographic survey and geodetic surveying.	Polar Orbit	PO		United States Air Force	Government
7c364234-6871-4ea9-97c5-5dcd5bcec1dd	1493.0	Discoverer 12	Government/Top Secret	Discoverer 12 was an American optical reconnaissance satellite. The fourth of five test flights of the Corona KH-1 spy satellite series. It was lost when the second stage failed during launch.	Low Earth Orbit	LEO		United States Air Force	Government
962f4ad2-81e0-43f9-8148-fb78f52cb0f5	1494.0	Korabl-Sputnik (2)	Test Flight	A test of the Vostok capsule carrying a pair of dogs. Unfortunately this failed after a failure of the booster.	Low Earth Orbit	LEO	Vostok	Soviet Space Program	Government
0b722410-e8ad-4dd7-803e-76c251c2b65a	5823.0	Mercury-Atlas 1	Test Flight	Mercury-Atlas 1 (MA-1) was the first attempt to launch a Mercury capsule and occurred on July 29, 1960 at Cape Canaveral, Florida. The spacecraft was unmanned and carried no launch escape system. The Atlas rocket suffered a structural failure 58 seconds after launch at an altitude of approximately 30,000 feet (9.1 km) and 11,000 feet (3.4 km) down range.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
b485afd9-abd0-4da4-94a4-19adf515aab9	1495.0	Discoverer 13	Government/Top Secret	Discoverer 13 was an American optical reconnaissance satellite. The lastof five test flights of the Corona KH-1 spy satellite series. It was the first fully successfuly flight of the Discoverer series. It successfuly jetissoned its payload which was recovered in the Ocean by the Navy.	Low Earth Orbit	LEO		United States Air Force	Government
a622451e-1533-40ec-ae1f-6ac82a8e15eb	1496.0	Echo 1	Communications	The Echo 1A spacecraft was a 30.48 m diameter balloon of mylar polyester film 0.0127 mm thick. The spacecraft was designed as a passive communications reflector for transcontinental and intercontinental telephone (voice), radio, and television signals. It had 107.9 MHz beacon transmitters for telemetry purposes. These transmitters were powered by five nickel-cadmium batteries that were charged by 70 solar cells mounted on the balloon. Because of the large area-to-mass ratio of the spacecraft, data for the calculation of atmospheric density and solar pressure could be acquired. The spacecraft was also used to evaluate the technical feasibility of satellite triangulation during the latter portion of its life. Echo 1 failed during the coast period after launch, as the attitude control jets on the second stage failed and the spacecraft did not achieve orbit. Echo 1A was a successful relaunch.	Elliptical Orbit	Elliptical		United States Air Force	Government
365e8e27-7db7-48f5-8d7d-33a3ec978e81	1497.0	Discoverer 14	Government/Top Secret	Discoverer 14 was an American optical reconnaissance satellite. It was the first fully successful flight of the Discoverer series which returned film. The capsule was recovered mid air by an aircraft	Low Earth Orbit	LEO		United States Air Force	Government
d203ad0f-2f6f-4533-9641-b211b5770421	1498.0	Courier 1A	Communications	An active repeater communications satellite. The vehicle failed during liftoff.	Low Earth Orbit	LEO		United States Air Force	Government
5d75ee96-a897-499f-8f48-7d98d78fc01c	1499.0	Korabl'-Sputnik-2	Test Flight	A test of the Vostok capsule which carried dogs Belka and Stelka (amonst other animals) the flight was successful and all animals were recovered successfully.	Low Earth Orbit	LEO	Vostok	Soviet Space Program	Government
4a0e330d-c75a-433b-ad2e-f0be2ed9a018	1500.0	Discoverer 15	Government/Top Secret	Discoverer 15 was an American optical reconnaissance satellite. The orbital mission was successful but when the capsule was returned it failed to be captured and sank into the ocean.	Low Earth Orbit	LEO		United States Air Force	Government
ada5068a-c2e0-4c0e-9167-402536f4af37	1501.0	Blue Scout D-1	Earth Science	The flight planned to make radiation and magnetic field measurements at 26700km from Earth. While the rocket achieved this altitude the telemetry system failed so no data was received.	Suborbital	Sub		United States Air Force	Government
23538a9d-d745-4944-aec8-294c8f773cbf	1502.0	P-30 (Able VA)	Lunar Exploration	An intended lunar orbiter probe. The vehicle failed during launch.	Lunar Orbit	LO		United States Air Force	Government
b3d4d5e7-b317-446c-9d08-d4e5cfa95a63	1503.0	ST-2	Earth Science	A radiation probe plasma mission.	Low Earth Orbit	LEO		National Aeronautics and Space Administration	Government
dae8cfed-408d-4572-a461-d71e8d40e396	1504.0	Courier 1B	Communications	An active repeater communications satellite. The vehicle succesfully launched and successfully operated for a few weeks proving the experimental system.	Low Earth Orbit	LEO		United States Air Force	Government
2b8ca24a-995a-49bd-a686-f937647fd47e	1505.0	Mars-1a	Planetary Science	A Russian mars flyby probe intended to photograph Mars.  The second stage failed.	Mars flyby	Mars flyby		Soviet Space Program	Government
d1d6a521-65f5-44df-93ba-5f79773186f4	1506.0	Samos 1	Government/Top Secret	A Satellite and Missile Observation satallite which failed to enter orbit due to a failure in the launch vehicle guidance system	Low Earth Orbit	LEO		United States Air Force	Government
